3.02092，15.5783，-0.910989,3.01896，15.6557，-0.926587,3.09517，15.5798，-0.838468
4.8153，15.1229，-0.974089,4.8298，15.1229，-0.897947,4.80243，15.0468，-0.974089
3.93274，15.213，-0.821804,3.8566，15.217，-0.821804,3.8566，15.2752，-0.769846
4.77031，15.1751，-0.974089,4.8153，15.1229，-0.974089,4.77031，15.1229，-1.00119
4.77074，15.1991，-0.902694,4.80327，15.199，-0.821804,4.8298，15.1229，-0.897947
4.8298，15.1229，-0.897947,4.8153，15.1229，-0.974089,4.77074，15.1991，-0.902694
4.8153，15.1229，-0.974089,4.77031，15.1751，-0.974089,4.77074，15.1991，-0.902694
4.31345，17.7879，-0.014682,4.23731，17.7879，-0.028228,4.23731，17.7117，0.000637
4.23731，17.7117，0.000637,4.23731，17.7879，-0.028228,4.16117，17.7117，0.000927
4.80947，17.331，-0.441093,4.82884，17.331，-0.36495,4.79007，17.2549，-0.441093
4.82884，17.331，-0.36495,4.82982，17.2549，-0.36495,4.79007，17.2549，-0.441093
4.77031，17.6356，-0.513286,4.8244，17.6356，-0.441093,4.77031，17.5595，-0.501166
4.81321，14.4376，-0.36495,4.79827，14.3615，-0.36495,4.77031，14.3615，-0.375781
4.81321，14.4376，-0.36495,4.82837，14.4376，-0.288808,4.79827，14.3615，-0.36495
4.8302，13.9808，-0.212666,4.82965，13.9046，-0.212666,4.78987，13.9046，-0.288808
4.78987，13.9046，-0.288808,4.82965，13.9046，-0.212666,4.77031，13.8285，-0.281175
4.80947，13.9808，-0.288808,4.8302，13.9808，-0.212666,4.78987，13.9046，-0.288808
3.8566，14.4031，-0.66952,3.78046，14.3815，-0.66952,3.78046，14.3908，-0.745662
4.08503，13.5886，-0.36495,4.00886，13.5824，-0.365249,4.00888，13.6001，-0.393009
4.08503，14.3615，-1.03347,4.08503，14.3487，-0.974089,4.00888，14.3347，-1.05023
4.16117，14.3615，-0.994936,4.16117，14.3476，-0.974089,4.08503，14.3615，-1.03347
4.16117，14.3476，-0.974089,4.08503，14.3487，-0.974089,4.08503，14.3615，-1.03347
4.11787，13.6001，-0.36495,4.08503，13.5886，-0.36495,4.08503，13.6001，-0.376897
4.11787，13.6001，-0.36495,4.16117，13.6001，-0.314892,4.08503，13.5886，-0.36495
4.08503，13.6001，-0.376897,4.08503，13.5886，-0.36495,4.00888，13.6001，-0.393009
3.62817，14.3757，-0.821804,3.70431，14.3757，-0.821804,3.62817，14.3615，-0.764886
3.78046，14.3908，-0.745662,3.70431，14.3919，-0.745662,3.70431，14.3757，-0.821804
3.70431，14.3757，-0.821804,3.70431，14.3919，-0.745662,3.62817，14.3615，-0.764886
3.09518，14.269，-1.43094,3.01903，14.2573，-1.43094,3.01903，14.2551，-1.50709
2.67893，15.1229，-2.64922,2.70249，15.1229，-2.57308,2.65356，15.0468，-2.64922
0.007843，15.199，-2.49694,0.016829，15.199，-2.57308,-0.001765，15.1229，-2.57308
0.016829，15.199，-2.57308,0.034235，15.199，-2.64922,0.019807，15.1229，-2.64922
-0.001765，15.1229，-2.57308,0.016829，15.199，-2.57308,0.019807，15.1229，-2.64922
-0，14.7422，-2.49694,0.011811，14.7422，-2.57308,0.024849，14.6661，-2.57308
-0，14.9706，-2.57308,-0，15.0468，-2.57308,0.049482，14.9706，-2.63711
-0，14.5899，-2.11622,-0，14.5899，-2.19237,0.049482，14.5226，-2.19237
2.40989，12.9909，-0.039666,2.33375，12.9909，0.001364,2.33375，12.9148，-0.005182
2.40989，12.9909，-0.039666,2.40989，13.0671，-0.019718,2.33375，12.9909，0.001364
1.19162，15.6559，-0.000744,1.19162，15.732，-0.042836,1.11548，15.6559，-0.006229
1.26776，15.732，-0.004552,1.19162，15.732，-0.042836,1.19162，15.6559，-0.000744
2.95904，15.2747，-1.65943,2.98601，15.1231，-1.58257,2.94293，15.1229，-1.66235
3.39974，15.1612，-1.12637,3.47589，15.1593，-1.12637,3.39974，15.1463，-1.20252
3.47589，15.1593，-1.12637,3.39974，15.1612，-1.12637,3.39981，15.1991，-1.07741
3.47589，15.1725，-1.05023,3.47589，15.1593，-1.12637,3.39981，15.1991，-1.07741
3.78044，15.2752，-0.811747,3.78046，15.2462，-0.821804,3.70431，15.2752，-0.856913
3.8566，15.217，-0.821804,3.78046，15.2462，-0.821804,3.78044，15.2752，-0.811747
3.8566，15.2752，-0.769846,3.8566，15.217，-0.821804,3.78044，15.2752，-0.811747
3.02092，15.5783，-0.910989,3.09518，15.5189，-0.897947,3.01549，15.5033，-0.964635
3.09518，15.5189，-0.897947,3.02092，15.5783，-0.910989,3.09517，15.5798，-0.838468
3.3236，15.5602，-0.66952,3.39974，15.5551，-0.66952,3.3236，15.5411，-0.745662
3.17132，15.5147，-0.897947,3.09518，15.5189，-0.897947,3.09517，15.5798，-0.838468
3.17132，15.5335，-0.821804,3.17132，15.5147，-0.897947,3.09517，15.5798，-0.838468
4.8298，15.1229，-0.897947,4.82986，15.0468，-0.897947,4.80243，15.0468，-0.974089
4.77031，14.4376，-0.427609,4.81321，14.4376，-0.36495,4.77031，14.3615，-0.375781
3.01896，15.6557，-0.926587,3.02092，15.5783，-0.910989,2.94289，15.6559，-0.953379
3.03312，13.4476，-1.20523,3.04745，13.4478，-1.12637,3.01903，13.4368，-1.20252
4.8298，15.1229，-0.897947,4.8279，15.1229，-0.821804,4.82986，15.0468，-0.897947
4.80327，15.199，-0.821804,4.8279，15.1229，-0.821804,4.8298，15.1229，-0.897947
4.80327，15.199，-0.821804,4.8157，15.199，-0.745662,4.8279，15.1229，-0.821804
